agency, county
El Monte Police Dept,Los Angeles
El Segundo Police Dept,Los Angeles
Emeryville Police Dept,Alameda
Encinitas,San Diego
Escondido Police Dept,San Diego
Eureka Police Dept,Humboldt
Exeter Police Dept,Tulare
Fairfield Police Dept,Solano
Farmersville Police Dept,Tulare
Fillmore,Ventura
Folsom Police Dept,Sacramento
Fontana Police Dept,San Bernardino
Fortuna Police Dept,Humboldt
Foster City Police Dept,San Mateo
Fountain Valley Police Dept,Orange
Fremont Police Dept,San Mateo
Fresno County Sheriff Department,Fresno
Fresno Police Dept,Fresno
Fullerton Police Dept,Orange
Galt Police Dept,Sacramento
Garden Grove Police Dept,Orange
Gardena Police Dept,Los Angeles
Gilroy Dept Of Public Safety,Santa Clara
Glendale Police Dept,Los Angeles
Glendora Police Dept,Los Angeles
Goleta,Santa Barbara
Grand Terrace,San Bernardino
Grass Valley Police Dept,Nevada
Greenfield Police Dept,Monterey
Grover Beach Police Dept,San Luis Obispo
Hanford Police Dept,Kings
Hawaiian Gardens Police Dept,Los Angeles
Hawthorne Police Dept,Los Angeles
Hayward Police Dept,Alameda
Healdsburg Police Dept,Sonoma
Hemet Police Dept,Riverside
Hercules Police Dept,Contra Costa
Hermosa Beach Police Dept,Los Angeles
Hesperia,San Bernardino
Highland,San Bernardino
Hillsborough Police Dept,San Mateo
Hollister Police Dept,San Benito
Humboldt County Sheriff Department,Humboldt
Huntington Beach Police Dept,Orange
Huntington Park Police Dept,Los Angeles
Imperial County Sheriff Department,Imperial
Imperial Police Dept,Imperial
Indio Police Dept,Riverside
Inglewood Police Dept,Los Angeles
Irvine Police Department,Orange
Jurupa Valley,Riverside
Kerman Police Dept,Fresno
Kern County Sheriff Department,Kern
King City Police Dept,Monterey
Kings County Sheriff Department,Kings
Kingsburg Police Dept,Fresno
La Canada-Flintridge,Los Angeles
La Habra Police Dept,Orange
Lamesa Police Dept,San Diego
La Mirada,Los Angeles
La Palma Police Dept,Orange
La Puente,Los Angeles
La Quinta,Riverside
La Verne Police Dept,Los Angeles
Lafayette,Contra Costa
Laguna Beach Police Dept,Orange
Laguna Hills,Orange
Laguena Niguel,Orange
Laguna Woods,Orange
Lake County Sheriff Department,Lake
Lake Elsinore,Riverside
Lake Forest,Orange
Lakewood,Los Angeles
Lancaster,Los Angeles
Lawndale,Los Angeles
Lemon Grove,San Diego
Lemoore Police Dept,Kings
Lincoln Police Dept,Placer
Lindsay Police Dept,Tulare
Livermore Police Dept,Alameda
Livingston Police Dept,Merced
Lodi Police Dept,San Joaquin
Loma Linda,San Bernardino
Lomita,Los Angeles
Lompoc Police Dept,Santa Barbara
Long Beach Police Dept,Los Angeles
Los Alamitos Police Dept,Orange
Los Altos Police Dept,Santa Clara
Los Angeles County Sheriff Department,Los Angeles
Los Angeles Police Dept,Los Angeles
Los Banos Dept Of Public Safety,Merced
Los Gatos Police Dept,Santa Clara
Lynwood,Los Angeles
Madera County Sheriff Department,Medera
Madera Police Dept,Madera
Malibu,Los Angeles
Manhattan Beach Police Dept,Marin
Manteca Police Dept,San Joaquin
Marin County Sheriff Department,Marin
Marina Dept Of Public Safety,Monterey
Martinez Police Dept,Contra Costa
Marysville Police Dept,Yuba
