Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Crime in 2010

,,,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,,,
,,,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,,,

Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
Adelanto Police Dept,CA,12,      31765,         242,           4,           9,,          39,         190,         726,         359,         273,          94,         761.8,          12.6,          28.3,,         122.8,         598.1,       2285.5,       1130.2,         859.4,         295.9
Agoura Hills,CA,12,      20330,          18,           0,           2,,           1,          15,         240,          59,         173,           8,          88.5,            .0,           9.8,,           4.9,          73.8,       1180.5,         290.2,         851.0,          39.4
Alameda County Sheriff Department,CA,12,,         698,           8,          18,,         235,         437,       2212,         622,       1041,         549,,,,,,,,,,
Alameda Police Dept,CA,12,      73812,         173,           1,          15,,          74,          83,       1964,         389,       1360,         215,         234.4,           1.4,          20.3,,         100.3,         112.4,       2660.8,         527.0,       1842.5,         291.3
Albany Police Dept,CA,12,      18539,          37,           0,           5,,          24,           8,         582,          95,         392,          95,         199.6,            .0,          27.0,,         129.5,          43.2,       3139.3,         512.4,       2114.5,         512.4
Alhambra Police Dept,CA,12,      83089,         185,           3,           8,,          82,          92,       2075,         345,       1460,         270,         222.7,           3.6,           9.6,,          98.7,         110.7,       2497.3,         415.2,       1757.2,         325.0
Aliso Viejo,CA,12,      47823,          37,           0,           4,,           8,          25,         439,          87,         324,          28,          77.4,            .0,           8.4,,          16.7,          52.3,         918.0,         181.9,         677.5,          58.5
American Canyon,CA,12,      19454,          38,           0,           2,,          20,          16,         515,         100,         375,          40,         195.3,            .0,          10.3,,         102.8,          82.2,       2647.3,         514.0,       1927.6,         205.6
Anaheim Police Dept,CA,12,     336265,       1161,           7,          88,,         492,         574,       8473,       1594,       5869,       1010,         345.3,           2.1,          26.2,,         146.3,         170.7,       2519.7,         474.0,       1745.3,         300.4
Anderson Police Dept,CA,12,       9932,          77,           0,           5,,          10,          62,         510,          90,         394,          26,         775.3,            .0,          50.3,,         100.7,         624.2,       5134.9,         906.2,       3967.0,         261.8
Antioch Police Dept,CA,12,     102372,         864,          13,          32,,         313,         506,       3096,       1087,       1049,         960,         844.0,          12.7,          31.3,,         305.7,         494.3,       3024.3,       1061.8,       1024.7,         937.8
Apple Valley,CA,12,      69135,         188,           2,          22,,          58,         106,       1889,         592,       1107,         190,         271.9,           2.9,          31.8,,          83.9,         153.3,       2732.3,         856.3,       1601.2,         274.8
Arcadia Police Dept,CA,12,      56364,          88,           1,           5,,          36,          46,       1737,         364,       1267,         106,         156.1,           1.8,           8.9,,          63.9,          81.6,       3081.8,         645.8,       2247.9,         188.1
