Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Adelanto Police Dept,CA,12,      32138,         164,           1,          18,,          34,         111,         885,         410,         363,         112,         510.3,           3.1,          56.0,,         105.8,         345.4,       2753.7,       1275.7,       1129.5,         348.5
Agoura Hills,CA,12,      20569,          15,           0,           1,,           3,          11,         255,          74,         168,          13,          72.9,            .0,           4.9,,          14.6,          53.5,       1239.7,         359.8,         816.8,          63.2
Alameda County Sheriff Department,CA,12,,         725,           3,          26,,         218,         478,       2192,         650,         991,         551,,,,,,,,,,
Alameda Police Dept,CA,12,      74680,         207,           1,          15,,          94,          97,       1898,         315,       1323,         260,         277.2,           1.3,          20.1,,         125.9,         129.9,       2541.5,         421.8,       1771.6,         348.2
Albany Police Dept,CA,12,      18757,          37,           0,           4,,          26,           7,         476,          85,         338,          53,         197.3,            .0,          21.3,,         138.6,          37.3,       2537.7,         453.2,       1802.0,         282.6
Alhambra Police Dept,CA,12,      84066,         152,           1,           7,,          57,          87,       1891,         312,       1362,         217,         180.8,           1.2,           8.3,,          67.8,         103.5,       2249.4,         371.1,       1620.2,         258.1
Aliso Viejo,CA,12,      48385,          30,           0,           2,,           8,          20,         437,          75,         349,          13,          62.0,            .0,           4.1,,          16.5,          41.3,         903.2,         155.0,         721.3,          26.9
American Canyon,CA,12,      19683,          44,           0,           3,,          19,          22,         527,         126,         356,          45,         223.5,            .0,          15.2,,          96.5,         111.8,       2677.4,         640.1,       1808.7,         228.6
Anaheim Police Dept,CA,12,     340218,       1281,          15,         105,,         446,         715,       8493,       1410,       5964,       1119,         376.5,           4.4,          30.9,,         131.1,         210.2,       2496.3,         414.4,       1753.0,         328.9
Anderson Police Dept,CA,12,      10049,          75,           1,           3,,          10,          61,         417,          81,         298,          38,         746.3,          10.0,          29.9,,          99.5,         607.0,       4149.7,         806.1,       2965.5,         378.1
Antioch Police Dept,CA,12,     103575,         818,           5,          21,,         290,         502,       3873,       1335,       1571,         967,         789.8,           4.8,          20.3,,         280.0,         484.7,       3739.3,       1288.9,       1516.8,         933.6
Apple Valley,CA,12,      69948,         157,           4,          16,,          53,          84,       1952,         685,       1052,         215,         224.5,           5.7,          22.9,,          75.8,         120.1,       2790.6,         979.3,       1504.0,         307.4
Arcadia Police Dept,CA,12,      57027,          68,           1,           5,,          24,          38,       1699,         408,       1206,          85,         119.2,           1.8,           8.8,,          42.1,          66.6,       2979.3,         715.5,       2114.8,         149.1
Arcata Police Dept,CA,12,      17434,          48,           0,           5,,          12,          31,         624,          74,         499,          51,         275.3,            .0,          28.7,,          68.8,         177.8,       3579.2,         424.5,       2862.2,         292.5
Arroyo Grande Police Dept,CA,12,      17455,          23,           0,           0,,           4,          19,         344,          88,         238,          18,         131.8,            .0,            .0,,          22.9,         108.9,       1970.8,         504.2,       1363.5,         103.1
Artesia,CA,12,      16716,          66,           0,           1,,          31,          34,         327,          97,         185,          45,         394.8,            .0,           6.0,,         185.5,         203.4,       1956.2,         580.3,       1106.7,         269.2
Arvin Police Dept,CA,12,      19531,         165,           1,           0,,          15,         149,         529,         164,         250,         115,         844.8,           5.1,            .0,,          76.8,         762.9,       2708.5,         839.7,       1280.0,         588.8
Atascadero Police Dept,CA,12,      28643,          67,           0,          11,,           8,          48,         702,         165,         502,          35,         233.9,            .0,          38.4,,          27.9,         167.6,       2450.9,         576.1,       1752.6,         122.2
Atwater Police Dept,CA,12,      28499,         129,           0,           5,,          37,          87,       1230,         355,         773,         102,         452.6,            .0,          17.5,,         129.8,         305.3,       4315.9,       1245.7,       2712.4,         357.9
Auburn Police Dept,CA,12,      13487,          52,           1,           3,,          10,          38,         297,          58,         202,          37,         385.6,           7.4,          22.2,,          74.1,         281.8,       2202.1,         430.0,       1497.7,         274.3
Avenal,CA,12,      15687,          69,           1,           3,,           8,          57,         184,          92,          82,          10,         439.9,           6.4,          19.1,,          51.0,         363.4,       1172.9,         586.5,         522.7,          63.7
Azusa Police Dept,CA,12,      46906,         239,           0,          14,,          49,         176,       1048,         277,         641,         130,         509.5,            .0,          29.8,,         104.5,         375.2,       2234.3,         590.5,       1366.6,         277.2
Bakersfield Police Dept,CA,12,     351568,       1866,          18,          39,,         548,       1261,      14840,       4321,       8123,       2396,         530.8,           5.1,          11.1,,         155.9,         358.7,       4221.1,       1229.1,       2310.5,         681.5
Baldwin Park Police Dept,CA,12,      76276,         242,           1,           9,,          90,         142,       1601,         315,         883,         403,         317.3,           1.3,          11.8,,         118.0,         186.2,       2099.0,         413.0,       1157.6,         528.3
