State,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Alabama,   4803689,      20166,         299,       1370,,       4906,      13591,     173192,      51119,     111411,      10662,         419.8,           6.2,          28.5,,         102.1,         282.9,       3605.4,       1064.2,       2319.3,         222.0
Alaska,     723860,       4416,          30,         436,,         576,       3374,      19094,       2852,      14854,       1388,         610.1,           4.1,          60.2,,          79.6,         466.1,       2637.8,         394.0,       2052.1,         191.7
Arizona,   6467315,      26789,         397,       2499,,       7145,      16748,     229896,      54695,     155400,      19801,         414.2,           6.1,          38.6,,         110.5,         259.0,       3554.7,         845.7,       2402.9,         306.2
Arkansas,   2938582,      14173,         160,       1230,,       2357,      10426,     110430,      34016,      70645,       5769,         482.3,           5.4,          41.9,,          80.2,         354.8,       3757.9,       1157.6,       2404.1,         196.3
California,  37683933,     154943,       1792,       7665,,      54291,      91195,     973822,     230075,     596905,     146842,         411.2,           4.8,          20.3,,         144.1,         242.0,       2584.2,         610.5,       1584.0,         389.7
Colorado,   5116302,      16085,         155,       2285,,       3299,      10346,     132781,      25725,      96054,      11002,         314.4,           3.0,          44.7,,          64.5,         202.2,       2595.3,         502.8,       1877.4,         215.0
Connecticut,   3586717,       9889,         129,         689,,       3689,       5382,      77205,      15468,      55067,       6670,         275.7,           3.6,          19.2,,         102.9,         150.1,       2152.5,         431.3,       1535.3,         186.0
Delaware,     908137,       5144,          48,         307,,       1558,       3231,      31163,       7617,      22001,       1545,         566.4,           5.3,          33.8,,         171.6,         355.8,       3431.5,         838.8,       2422.7,         170.1
District of Columbia,     619020,       7433,         108,         173,,       4094,       3058,      29654,       3850,      21347,       4457,       1200.8,          17.4,          27.9,,         661.4,         494.0,       4790.5,         622.0,       3448.5,         720.0
Florida,  19082262,      98198,         984,       5273,,      25622,      66319,     671200,     170171,     461408,      39621,         514.6,           5.2,          27.6,,         134.3,         347.5,       3517.4,         891.8,       2418.0,         207.6
Georgia,   9812460,      36762,         549,       2066,,      12266,      21881,     357235,      96014,     231543,      29678,         374.6,           5.6,          21.1,,         125.0,         223.0,       3640.6,         978.5,       2359.7,         302.5
Hawaii,   1378129,       3465,          20,         353,,         994,       2098,      43874,       8165,      31240,       4469,         251.4,           1.5,          25.6,,          72.1,         152.2,       3183.6,         592.5,       2266.8,         324.3
Idaho,   1583744,       3202,          35,         444,,         188,       2535,      32875,       6915,      24629,       1331,         202.2,           2.2,          28.0,,          11.9,         160.1,       2075.8,         436.6,       1555.1,          84.0
Illinois,  12859752,      54523,         781,       3030,,      20217,      30495,     344468,      77719,     237362,      29387,         424.0,           6.1,          23.6,,         157.2,         237.1,       2678.7,         604.4,       1845.8,         228.5
Indiana,   6516353,      21619,         306,       1758,,       6977,      12578,     206016,      50571,     140630,      14815,         331.8,           4.7,          27.0,,         107.1,         193.0,       3161.5,         776.1,       2158.1,         227.4
Iowa,   3064097,       7883,          44,         866,,         824,       6149,      72043,      17573,      50472,       3998,         257.3,           1.4,          28.3,,          26.9,         200.7,       2351.2,         573.5,       1647.2,         130.5
Kansas,   2870386,      10209,         111,       1122,,       1448,       7528,      88655,      18712,      63259,       6684,         355.7,           3.9,          39.1,,          50.4,         262.3,       3088.6,         651.9,       2203.8,         232.9
Kentucky,   4366814,      10465,         151,       1499,,       3705,       5110,     119037,      32750,      79586,       6701,         239.6,           3.5,          34.3,,          84.8,         117.0,       2725.9,         750.0,       1822.5,         153.5
Louisiana,   4574766,      25373,         506,       1262,,       5235,      18370,     168529,      46242,     113174,       9113,         554.6,          11.1,          27.6,,         114.4,         401.6,       3683.9,       1010.8,       2473.9,         199.2
Maine,   1328544,       1638,          26,         394,,         370,         848,      33829,       7865,      24886,       1078,         123.3,           2.0,          29.7,,          27.9,          63.8,       2546.3,         592.0,       1873.2,          81.1
Maryland,   5839572,      28817,         399,       1200,,      10342,      16876,     166846,      35823,     114951,      16072,         493.5,           6.8,          20.5,,         177.1,         289.0,       2857.2,         613.5,       1968.5,         275.2
Massachusetts,   6607003,      28232,         184,       1654,,       6768,      19626,     148829,      36403,     101644,      10782,         427.3,           2.8,          25.0,,         102.4,         297.0,       2252.6,         551.0,       1538.4,         163.2
Michigan,   9876801,      43731,         617,       4344,,      10263,      28507,     251329,      69755,     156666,      24908,         442.8,           6.2,          44.0,,         103.9,         288.6,       2544.6,         706.3,       1586.2,         252.2
Minnesota,   5347299,      12323,          75,       2113,,       3385,       6750,     136183,      25681,     102354,       8148,         230.5,           1.4,          39.5,,          63.3,         126.2,       2546.8,         480.3,       1914.1,         152.4
Mississippi,   2977457,       8009,         232,         863,,       2496,       4418,      89809,      30722,      54179,       4908,         269.0,           7.8,          29.0,,          83.8,         148.4,       3016.3,       1031.8,       1819.6,         164.8
Missouri,   6008984,      26888,         366,       1469,,       6275,      18778,     199085,      44875,     138879,      15331,         447.5,           6.1,          24.4,,         104.4,         312.5,       3313.1,         746.8,       2311.2,         255.1
Montana,     997667,       2755,          29,         366,,         171,       2189,      23885,       3347,      19089,       1449,         276.1,           2.9,          36.7,,          17.1,         219.4,       2394.1,         335.5,       1913.4,         145.2
Nebraska,   1842234,       4672,          68,         699,,         993,       2912,      50894,       8725,      38060,       4109,         253.6,           3.7,          37.9,,          53.9,         158.1,       2762.6,         473.6,       2066.0,         223.0
Nevada,   2720028,      15452,         139,         913,,       4308,      10092,      70075,      20342,      40156,       9577,         568.1,           5.1,          33.6,,         158.4,         371.0,       2576.3,         747.9,       1476.3,         352.1
New Hampshire,   1317807,       2864,          16,         581,,         509,       1758,      32756,       6244,      25398,       1114,         217.3,           1.2,          44.1,,          38.6,         133.4,       2485.6,         473.8,       1927.3,          84.5
New Jersey,   8834773,      27203,         380,       1006,,      12209,      13608,     189719,      43238,     129066,      17415,         307.9,           4.3,          11.4,,         138.2,         154.0,       2147.4,         489.4,       1460.9,         197.1
New Mexico,   2078674,      11904,         158,         856,,       1720,       9170,      73549,      21419,      46730,       5400,         572.7,           7.6,          41.2,,          82.7,         441.1,       3538.3,       1030.4,       2248.1,         259.8
New York,  19501616,      77463,         769,       2751,,      28405,      45538,     371837,      65227,     287361,      19249,         397.2,           3.9,          14.1,,         145.7,         233.5,       1906.7,         334.5,       1473.5,          98.7
