State FIPS,Postal Code,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
00,US,United States,46215956,45975650,46456262,15.3,15.2,15.4,15749129,15621395,15876863,21.6,21.4,21.8,10484513,10394015,10575011,19.8,19.6,20,50046,49982,50110,4961524,4910772,5012276,25,24.8,25.2
01,AL,Alabama,883078,867106,899050,18.9,18.6,19.2,305292,296223,314361,27.4,26.6,28.2,207778,199900,215656,25.6,24.6,26.6,40538,40081,40995,93895,89540,98250,31.3,29.8,32.8
02,AK,Alaska,76850,72916,80784,11,10.4,11.6,27209,25096,29322,14.8,13.6,16,15714,13861,17567,12.1,10.7,13.5,63456,62061,64851,10481,9515,11447,19.8,18,21.6
04,AZ,Arizona,1105075,1082284,1127866,17.6,17.2,18,401664,387835,415493,25,24.1,25.9,263822,251690,275954,23,21.9,24.1,46787,46278,47296,129973,123200,136746,29,27.5,30.5
05,AR,Arkansas,529710,518451,540969,18.7,18.3,19.1,190538,184070,197006,27.3,26.4,28.2,124638,118946,130330,24.9,23.8,26,38413,37806,39020,61985,58970,65000,32,30.4,33.6
06,CA,California,5785036,5732381,5837691,15.8,15.7,15.9,2012723,1979594,2045852,22,21.6,22.4,1382859,1353694,1412024,20.8,20.4,21.2,57664,57316,58012,588090,573739,602441,23.7,23.1,24.3
08,CO,Colorado,651744,636277,667211,13.2,12.9,13.5,207165,198566,215764,17.1,16.4,17.8,131486,124025,138947,15.1,14.2,16,54411,53726,55096,70745,66602,74888,20.8,19.6,22
09,CT,Connecticut,348881,338009,359753,10.1,9.8,10.4,103003,96964,109042,12.8,12.1,13.5,68661,63160,74162,11.3,10.4,12.2,64321,63372,65270,32374,29778,34970,16.3,15,17.6
10,DE,Delaware,104456,99719,109193,11.9,11.4,12.4,36018,33638,38398,17.8,16.6,19,23356,21250,25462,15.9,14.5,17.3,56172,55018,57326,11938,10826,13050,22.1,20,24.2
11,DC,District of Columbia,107279,102359,112199,18.8,17.9,19.7,31147,28720,33574,31.1,28.7,33.5,20872,18719,23025,30.9,27.7,34.1,60729,59552,61906,9786,8770,10802,30.2,27.1,33.3
12,FL,Florida,3048621,3014414,3082828,16.5,16.3,16.7,929620,909688,949552,23.6,23.1,24.1,628165,611525,644805,21.9,21.3,22.5,44390,44071,44709,284672,274753,294591,27,26.1,27.9
13,GA,Georgia,1698004,1670505,1725503,18,17.7,18.3,613581,600100,627062,25,24.5,25.5,406975,395681,418269,23,22.4,23.6,46252,45792,46712,197978,190997,204959,29.4,28.4,30.4
15,HI,Hawaii,146923,140582,153264,11.1,10.6,11.6,43595,40209,46981,14.7,13.6,15.8,27307,24374,30240,13,11.6,14.4,62774,61500,64048,14535,12873,16197,17.1,15.1,19.1
16,ID,Idaho,244009,236574,251444,15.8,15.3,16.3,83752,79791,87713,19.8,18.9,20.7,51930,48574,55286,17.2,16.1,18.3,43259,42380,44138,30059,27951,32167,25.1,23.3,26.9
17,IL,Illinois,1732129,1707831,1756427,13.8,13.6,14,599714,585217,614211,19.4,18.9,19.9,408636,395855,421417,18.1,17.5,18.7,52967,52541,53393,181600,174555,188645,22.1,21.2,23
18,IN,Indiana,960402,942495,978309,15.3,15,15.6,340700,330138,351262,21.6,20.9,22.3,224269,214987,233551,19.6,18.8,20.4,44616,44178,45054,107909,102827,112991,25.4,24.2,26.6
19,IA,Iowa,368965,358787,379143,12.5,12.2,12.8,115731,110103,121359,16.2,15.4,17,72763,67783,77743,14.2,13.2,15.2,48031,47421,48641,39502,36745,42259,20,18.6,21.4
20,KS,Kansas,374677,364111,385243,13.5,13.1,13.9,129009,122672,135346,18.1,17.2,19,81077,75631,86523,15.9,14.8,17,47888,47096,48680,44653,41582,47724,22.1,20.6,23.6
21,KY,Kentucky,796208,781996,810420,18.9,18.6,19.2,261696,253671,269721,26.1,25.3,26.9,171016,164346,177686,23.7,22.8,24.6,40089,39605,40573,85526,81231,89821,31.1,29.5,32.7
22,LA,Louisiana,831512,816150,846874,18.8,18.5,19.1,302056,292729,311383,27.4,26.6,28.2,197278,189030,205526,25,24,26,42510,41852,43168,101442,97102,105782,32.9,31.5,34.3
23,ME,Maine,169076,163712,174440,13.1,12.7,13.5,48734,45782,51686,18.2,17.1,19.3,31620,29034,34206,15.8,14.5,17.1,45882,45042,46722,15752,14364,17140,23.5,21.4,25.6
24,MD,Maryland,559937,545242,574632,9.9,9.6,10.2,174469,166013,182925,13.1,12.5,13.7,113786,106642,120930,11.8,11.1,12.5,68933,68100,69766,55882,51594,60170,15.6,14.4,16.8
25,MA,Massachusetts,724845,708843,740847,11.4,11.1,11.7,201703,193194,210212,14.4,13.8,15,132074,124969,139179,12.8,12.1,13.5,62133,61734,62532,63114,58750,67478,17.4,16.2,18.6
26,MI,Michigan,1614110,1591644,1636576,16.7,16.5,16.9,537003,524201,549805,23.4,22.8,24,360763,349617,371909,21.2,20.5,21.9,45354,45052,45656,164207,158142,170272,28.2,27.2,29.2
27,MN,Minnesota,595485,583230,607740,11.5,11.3,11.7,189999,182563,197435,15,14.4,15.6,124031,117459,130603,13.6,12.9,14.3,55422,54978,55866,59780,56238,63322,17.1,16.1,18.1
28,MS,Mississippi,644156,629743,658569,22.4,21.9,22.9,240782,232859,248705,32.4,31.3,33.5,160282,153313,167251,30.2,28.9,31.5,36992,36390,37594,77993,74484,81502,37.5,35.8,39.2
29,MO,Missouri,888471,872312,904630,15.3,15,15.6,293856,284167,303545,21,20.3,21.7,186633,178336,194930,18.5,17.7,19.3,44306,43819,44793,100603,95787,105419,26.5,25.2,27.8
30,MT,Montana,146257,140628,151886,15.2,14.6,15.8,46183,43543,48823,21.1,19.9,22.3,29085,26726,31444,18.7,17.2,20.2,42303,41341,43265,15720,14501,16939,25.7,23.7,27.7
31,NE,Nebraska,224530,216981,232079,12.6,12.2,13,77895,73532,82258,17.3,16.3,18.3,49230,45294,53166,15.5,14.3,16.7,48415,47608,49222,26193,24037,28349,20.3,18.6,22
32,NV,Nevada,393605,380753,406457,14.8,14.3,15.3,139981,132945,147017,21.3,20.2,22.4,89928,83702,96154,19.2,17.9,20.5,50987,50262,51712,46954,43865,50043,25.6,23.9,27.3
33,NH,New Hampshire,110096,104548,115644,8.6,8.2,9,30481,27601,33361,10.8,9.8,11.8,19067,16551,21583,9,7.8,10.2,60917,59946,61888,10138,8895,11381,14.8,13,16.6
34,NJ,New Jersey,883643,865040,902246,10.2,10,10.4,292455,281736,303174,14.3,13.8,14.8,196338,187443,205233,13.1,12.5,13.7,67719,67011,68427,89521,84089,94953,16.8,15.8,17.8
35,NM,New Mexico,400779,389376,412182,19.8,19.2,20.4,145779,139740,151818,28.5,27.3,29.7,98187,92895,103479,26.7,25.3,28.1,42186,41505,42867,45529,42920,48138,32,30.2,33.8
36,NY,New York,2840564,2806009,2875119,15,14.8,15.2,912004,893606,930402,21.5,21.1,21.9,621649,605530,637768,20,19.5,20.5,54047,53677,54417,275636,266722,284550,24.4,23.6,25.2
37,NC,North Carolina,1618597,1596260,1640934,17.4,17.2,17.6,554191,540569,567813,24.6,24,25.2,366148,354108,378188,22.6,21.9,23.3,43417,43053,43781,178823,172350,185296,28.7,27.7,29.7
38,ND,North Dakota,81176,77653,84699,12.5,12,13,23330,21613,25047,15.7,14.5,16.9,14149,12660,15638,13.7,12.3,15.1,48878,47689,50067,8507,7645,9369,19.3,17.3,21.3
39,OH,Ohio,1771404,1746640,1796168,15.8,15.6,16,619354,604905,633803,23.1,22.6,23.6,407567,394584,420550,20.8,20.1,21.5,45151,44860,45442,199674,192989,206359,28.3,27.4,29.2
40,OK,Oklahoma,613067,601462,624672,16.8,16.5,17.1,223349,215772,230926,24.4,23.6,25.2,146681,139934,153428,22.5,21.5,23.5,42076,41680,42472,72594,69050,76138,28,26.6,29.4
41,OR,Oregon,596649,584161,609137,15.8,15.5,16.1,184511,178153,190869,21.7,21,22.4,119412,113929,124895,19.5,18.6,20.4,46536,46018,47054,59278,56093,62463,25.4,24,26.8
42,PA,Pennsylvania,1645097,1623338,1666856,13.4,13.2,13.6,518779,505091,532467,18.9,18.4,19.4,352865,340693,365037,17.5,16.9,18.1,49245,48824,49666,155365,148894,161836,21.7,20.8,22.6
44,RI,Rhode Island,143132,137475,148789,14.1,13.5,14.7,44041,41340,46742,19.9,18.7,21.1,29074,26666,31482,17.7,16.2,19.2,52053,51032,53074,14107,12882,15332,25.1,22.9,27.3
45,SC,South Carolina,813939,798358,829520,18.1,17.8,18.4,276637,266962,286312,26,25.1,26.9,180286,171758,188814,23.6,22.5,24.7,42117,41702,42532,92708,88252,97164,31.2,29.7,32.7
46,SD,South Dakota,114798,110248,119348,14.6,14,15.2,38736,36262,41210,19.4,18.2,20.6,23779,21637,25921,17.1,15.6,18.6,45861,44856,46866,13793,12604,14982,23.5,21.5,25.5
47,TN,Tennessee,1102643,1082798,1122488,17.8,17.5,18.1,380591,368554,392628,25.9,25.1,26.7,253241,242837,263645,23.9,22.9,24.9,41461,41068,41854,120569,114736,126402,30.1,28.6,31.6
48,TX,Texas,4411273,4369830,4452716,17.9,17.7,18.1,1746564,1720072,1773056,25.7,25.3,26.1,1177868,1155791,1199945,24.2,23.7,24.7,48622,48281,48963,547186,533154,561218,28.8,28.1,29.5
49,UT,Utah,362689,352107,373271,13.3,12.9,13.7,137407,130952,143862,15.9,15.2,16.6,89067,83469,94665,14.9,14,15.8,54740,54150,55330,45802,42491,49113,17.6,16.3,18.9
50,VT,Vermont,74720,71172,78268,12.4,11.8,13,20036,18373,21699,15.9,14.6,17.2,12762,11254,14270,13.6,12,15.2,49393,48253,50533,6282,5570,6994,20.1,17.8,22.4
51,VA,Virginia,865746,848523,882969,11.1,10.9,11.3,266606,257069,276143,14.6,14.1,15.1,172606,164452,180760,13.1,12.5,13.7,60665,60222,61108,88699,83490,93908,17.7,16.7,18.7
53,WA,Washington,890251,871019,909483,13.5,13.2,13.8,283993,273947,294039,18.2,17.6,18.8,179829,171359,188299,16.1,15.3,16.9,55584,55058,56110,95040,89869,100211,22.1,20.9,23.3
54,WV,West Virginia,327459,318847,336071,18.2,17.7,18.7,96683,92408,100958,25.7,24.6,26.8,63739,60033,67445,23.4,22,24.8,38241,37435,39047,30906,28891,32921,30.4,28.4,32.4
55,WI,Wisconsin,731564,717890,745238,13.2,13,13.4,248924,240710,257138,19,18.4,19.6,162223,155265,169181,17,16.3,17.7,48974,48492,49456,80637,76447,84827,23,21.8,24.2
56,WY,Wyoming,62636,59142,66130,11.4,10.8,12,19861,18160,21562,14.9,13.6,16.2,11942,10517,13367,12.8,11.3,14.3,53757,52440,55074,7389,6482,8296,18.6,16.3,20.9
