State FIPS Code,Postal Code,Name,Poverty Estimate. All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent. All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate. Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent. Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate. Ages 5-17 in Families,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent. Ages 5-17 in Families,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate. Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent. Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
00,US,United States,48760123,48528543,48991703,15.9,15.8,16,16396863,16275868,16517858,22.6,22.4,22.8,11086537,10995403,11177671,21,20.8,21.2,51371,51318,51424,5014970,4971692,5058248,25.6,25.4,25.8
01,AL,Alabama,896515,880205,912825,19,18.7,19.3,306451,298963,313939,27.6,26.9,28.3,208811,202516,215106,25.8,25,26.6,41610,41143,42077,94623,90649,98597,31.6,30.3,32.9
02,AK,Alaska,77494,74043,80945,10.8,10.3,11.3,28125,26359,29891,15.3,14.3,16.3,17409,15915,18903,13.5,12.3,14.7,66503,65013,67993,9792,8887,10697,18.2,16.5,19.9
04,AZ,Arizona,1195931,1177400,1214462,18.7,18.4,19,430378,418981,441775,27,26.3,27.7,291886,282134,301638,25.3,24.5,26.1,47796,47213,48379,130571,124662,136480,30.5,29.1,31.9
05,AR,Arkansas,560928,549034,572822,19.6,19.2,20,196464,190326,202602,28.1,27.2,29,133507,128213,138801,26.4,25.4,27.4,40151,39666,40636,59482,56503,62461,31.4,29.8,33
06,CA,California,6323433,6274914,6371952,17,16.9,17.1,2164589,2135262,2193916,23.8,23.5,24.1,1499768,1474007,1525529,22.8,22.4,23.2,58322,57972,58672,625906,612806,639006,25.1,24.6,25.6
08,CO,Colorado,688715,674161,703269,13.6,13.3,13.9,220133,211406,228860,18.1,17.4,18.8,148544,140781,156307,17,16.1,17.9,56880,56305,57455,65796,61511,70081,19.8,18.5,21.1
09,CT,Connecticut,370537,359310,381764,10.6,10.3,10.9,114613,108840,120386,14.6,13.9,15.3,79315,74293,84337,13.4,12.6,14.2,67275,66463,68087,32501,29809,35193,17.1,15.7,18.5
10,DE,Delaware,113316,108283,118349,12.7,12.1,13.3,38462,36164,40760,19.1,18,20.2,25169,23157,27181,17.3,15.9,18.7,58326,57025,59627,12571,11505,13637,23,21.1,24.9
11,DC,District of Columbia,112719,107296,118142,18.8,17.9,19.7,31615,28610,34620,29.3,26.5,32.1,20544,17809,23279,29.5,25.6,33.4,65231,63678,66784,10588,9497,11679,27.7,24.8,30.6
12,FL,Florida,3248276,3212223,3284329,17.2,17,17.4,1011096,989296,1032896,25.6,25,26.2,693284,673522,713046,24.1,23.4,24.8,45006,44664,45348,300437,291986,308888,28.5,27.7,29.3
13,GA,Georgia,1852459,1826052,1878866,19.2,18.9,19.5,672149,655922,688376,27.3,26.6,28,457339,443269,471409,25.6,24.8,26.4,47125,46750,47500,207316,199216,215416,31.2,30,32.4
15,HI,Hawaii,159988,153828,166148,11.8,11.3,12.3,51557,48450,54664,17.2,16.2,18.2,33910,31241,36579,16.2,14.9,17.5,66086,64683,67489,16088,14543,17633,18.2,16.4,20
16,ID,Idaho,250203,242232,258174,16,15.5,16.5,89672,85260,94084,21.3,20.3,22.3,59158,55230,63086,19.4,18.1,20.7,45296,44435,46157,28783,26880,30686,25.2,23.5,26.9
17,IL,Illinois,1847371,1823585,1871157,14.7,14.5,14.9,621972,606995,636949,20.6,20.1,21.1,425733,412185,439281,19.3,18.7,19.9,55126,54725,55527,186178,180107,192249,23.3,22.5,24.1
18,IN,Indiana,984948,969517,1000379,15.5,15.3,15.7,345235,335861,354609,22.1,21.5,22.7,228022,220554,235490,20,19.3,20.7,46954,46540,47368,110112,104930,115294,26.4,25.2,27.6
19,IA,Iowa,377110,367628,386592,12.7,12.4,13,114105,108686,119524,16.1,15.3,16.9,73339,68587,78091,14.3,13.4,15.2,50997,50573,51421,37956,35450,40462,19.7,18.4,21
20,KS,Kansas,392095,383225,400965,14,13.7,14.3,135261,130015,140507,19,18.3,19.7,87594,82882,92306,17.2,16.3,18.1,50140,49632,50648,44479,42128,46830,22.3,21.1,23.5
21,KY,Kentucky,821067,805992,836142,19.3,18.9,19.7,263744,255986,271502,26.5,25.7,27.3,176603,169899,183307,24.6,23.7,25.5,41717,41304,42130,83057,79340,86774,30.5,29.1,31.9
22,LA,Louisiana,900395,884176,916614,20.1,19.7,20.5,315185,305973,324397,28.6,27.8,29.4,214695,206688,222702,27.2,26.2,28.2,42998,42346,43650,97087,92654,101520,31.5,30.1,32.9
23,ME,Maine,186484,180261,192707,14.4,13.9,14.9,51386,48607,54165,19.8,18.7,20.9,33943,31498,36388,17.6,16.3,18.9,46856,46021,47691,15902,14583,17221,24.5,22.5,26.5
24,MD,Maryland,597705,582396,613014,10.4,10.1,10.7,187400,179663,195137,14.1,13.5,14.7,123500,116910,130090,12.8,12.1,13.5,71169,70606,71732,58744,54742,62746,16.4,15.3,17.5
25,MA,Massachusetts,762971,747896,778046,11.9,11.7,12.1,213611,206023,221199,15.4,14.9,15.9,144306,137783,150829,14.2,13.6,14.8,65378,64757,65999,62828,59056,66600,17.5,16.4,18.6
26,MI,Michigan,1677776,1655746,1699806,17.4,17.2,17.6,549131,537317,560945,24.7,24.2,25.2,376004,365861,386147,22.7,22.1,23.3,46793,46465,47121,161861,156092,167630,28.8,27.8,29.8
27,MN,Minnesota,597515,584948,610082,11.4,11.2,11.6,183595,176905,190285,14.6,14.1,15.1,119040,113252,124828,13.1,12.5,13.7,58828,58186,59470,58481,55336,61626,17,16.1,17.9
28,MS,Mississippi,689116,675487,702745,23.8,23.3,24.3,249060,241062,257058,33.9,32.8,35,171183,164008,178358,32.1,30.8,33.4,37179,36612,37746,75674,72190,79158,37.8,36.1,39.5
29,MO,Missouri,945435,928975,961895,16.2,15.9,16.5,310382,301946,318818,22.6,22,23.2,205173,197856,212490,20.6,19.9,21.3,45320,44909,45731,98447,94270,102624,26.7,25.6,27.8
30,MT,Montana,153105,148141,158069,15.6,15.1,16.1,45923,43663,48183,21.1,20.1,22.1,30052,28091,32013,19.2,17.9,20.5,45030,44048,46012,14621,13556,15686,24.6,22.8,26.4
31,NE,Nebraska,230375,223087,237663,12.8,12.4,13.2,78806,74931,82681,17.4,16.5,18.3,51189,47880,54498,15.9,14.9,16.9,50766,50207,51325,25654,23720,27588,19.8,18.3,21.3
32,NV,Nevada,441373,429406,453340,16.2,15.8,16.6,152664,146579,158749,23.4,22.5,24.3,101584,96355,106813,21.7,20.6,22.8,49909,49131,50687,47866,44892,50840,26.6,24.9,28.3
33,NH,New Hampshire,123773,117494,130052,9.7,9.2,10.2,36837,33736,39938,13.6,12.5,14.7,24911,22126,27696,12.2,10.8,13.6,63157,61881,64433,10504,9227,11781,16.3,14.3,18.3
34,NJ,New Jersey,934277,918190,950364,10.7,10.5,10.9,308293,298223,318363,15.4,14.9,15.9,208759,199984,217534,14.1,13.5,14.7,69705,69020,70390,94198,89113,99283,18.1,17.1,19.1
35,NM,New Mexico,421123,411829,430417,20.6,20.1,21.1,146710,141848,151572,28.9,27.9,29.9,98654,94470,102838,27,25.9,28.1,42828,41985,43671,46398,43975,48821,32.9,31.2,34.6
36,NY,New York,3040207,3009308,3071106,15.9,15.7,16.1,968025,951475,984575,23,22.6,23.4,658627,644269,672985,21.7,21.2,22.2,56357,55989,56725,295328,287185,303471,25.8,25.1,26.5
37,NC,North Carolina,1706255,1681208,1731302,18,17.7,18.3,581594,569022,594166,25.8,25.2,26.4,392122,380636,403608,23.9,23.2,24.6,45195,44809,45581,181415,176187,186643,29.8,28.9,30.7
38,ND,North Dakota,75251,72056,78446,11.2,10.7,11.7,20684,19312,22056,13.7,12.8,14.6,12555,11414,13696,11.9,10.8,13,54579,53273,55885,7563,6805,8321,16.8,15.1,18.5
39,OH,Ohio,1818886,1797356,1840416,16.2,16,16.4,617006,603764,630248,23.6,23.1,24.1,411818,400008,423628,21.4,20.8,22,46873,46582,47164,192591,186623,198559,28.3,27.4,29.2
40,OK,Oklahoma,636134,625653,646615,17.2,16.9,17.5,221664,215799,227529,24.1,23.5,24.7,145829,140663,150995,22.1,21.3,22.9,44336,43883,44789,71475,68744,74206,28,26.9,29.1
41,OR,Oregon,651302,635799,666805,17,16.6,17.4,191922,184441,199403,22.7,21.8,23.6,124909,118327,131491,20.4,19.3,21.5,49090,48332,49848,61909,58450,65368,27.3,25.8,28.8
42,PA,Pennsylvania,1688364,1665658,1711070,13.7,13.5,13.9,527373,514729,540017,19.6,19.1,20.1,354232,342826,365638,17.9,17.3,18.5,51225,50962,51488,160622,155264,165980,22.6,21.8,23.4
44,RI,Rhode Island,143625,138073,149177,14.2,13.7,14.7,44355,41942,46768,20.8,19.7,21.9,29653,27475,31831,18.8,17.4,20.2,54002,52598,55406,13739,12683,14795,25.3,23.4,27.2
