county,year,violent_crime_rate,property_crime_rate,poverty_estimate_all_ages,poverty_percent_all_ages,poverty_estimate_under_age_18,poverty_percent_under_ age_18,poverty_estimate_ages_5-17,poverty_percent_ages_5-17,median_household_income,labor_force,employed,unemployed_level,unemployed_rate,cum_population_change,cum_natural_increase,cum_births,cum_deaths,cum_net_migration,cum_intl_migration,cum_dom_migration,population_change,natural_increase,births,deaths,net_migration,intl_migration,dom_migration
Madera County,2013,1359.7,5499.9,33974,23.4,13563,32.2,9035,29.8,41223,62263,54428,7835,12.6,1524,4494,7768,3274,-2848,606,-3454,154,1408,2365,957,-1165,185,-1350
San Joaquin County,2011,2361.8,17338.1,124573,18.2,49527,25,32873,22.8,50376,311363,260997,50366,16.2,10908,7441,13131,5690,3504,2409,1095,8553,6032,10557,4525,2558,1923,635
Imperial County,2013,846.6,13685.5,38067,22.7,15594,30.9,11280,31.5,40106,78271,58670,19601,25,2056,7026,10010,2984,-5089,-115,-4974,-184,2176,3088,912,-2461,-35,-2426
Solano County,2011,1936.3,14893.6,54912,13.6,18147,18.4,11500,15.9,63090,202241,177619,24622,12.2,3127,2767,6343,3576,380,1545,-1165,2346,2269,5121,2852,90,1157,-1067
Contra Costa County,2014,4992.6,51438.3,115466,10.5,35640,13.8,25628,13.3,80338,540891,507521,33370,6.2,62142,20382,51614,31232,41374,17009,24365,15359,4477,12221,7744,11125,4265,6860
Monterey County,2011,4189.6,21236.7,69113,17.1,27097,24.5,17817,23,52746,216558,189146,27412,12.7,6841,5640,8471,2831,1237,2292,-1055,5532,4549,6808,2259,1014,1765,-751
Madera County,2012,1340.4,4901.8,33785,23.3,14991,35.4,9730,32,42054,62530,53495,9035,14.4,1353,3309,5411,2102,-1931,343,-2274,133,1471,2382,911,-1350,177,-1527
Tehama County,2012,786.7,5696.8,13980,22.3,4876,32,3375,30.4,38577,25248,21780,3468,13.7,-57,482,1770,1288,-562,144,-706,15,216,794,578,-201,64,-265
Tulare County,2011,3452.7,22815.6,113766,25.6,48335,33.7,33555,32.9,40599,203474,168687,34787,17.1,7074,6752,10053,3301,337,1674,-1337,5744,5475,8115,2640,286,1336,-1050
Santa Clara County,2014,1905.8,26178.3,159553,8.5,40118,9.3,27769,8.9,97219,992221,941097,51124,5.2,112933,61611,102357,40746,53447,69633,-16186,23498,14114,24362,10248,10014,17385,-7371
El Dorado County,2014,1067.5,5017.1,20715,11.4,4956,13.1,3405,11.5,70235,88114,81968,6146,7,2030,688,6652,5964,1284,719,565,1545,40,1526,1486,1507,177,1330
Sacramento County,2011,1720.1,11692.9,250842,17.7,89099,24.9,59257,23.1,52236,679995,597683,82312,12.1,17317,12346,24696,12350,5062,6054,-992,14011,9913,19811,9898,4168,4938,-770
Sutter County,2013,,,16288,17.2,6372,25.4,4427,23.9,47903,44792,38243,6549,14.6,613,1910,4306,2396,-1403,1461,-2864,691,604,1311,707,21,458,-437
Kern County,2014,3532.7,18995.8,206604,24.5,83543,32.9,57763,31.9,47451,393459,352504,40955,10.4,34958,38199,61710,23511,-2517,7431,-9948,8666,9000,14763,5763,67,1842,-1775
Butte County,2014,1147.2,11767.3,48151,21.9,10825,24.3,7829,24.2,42302,101483,92708,8775,8.6,4241,688,10200,9512,3513,1077,2436,1821,122,2409,2287,1678,274,1404
Calaveras County,2014,,,6057,13.7,1577,20.6,1091,18.5,53321,20292,18668,1624,8,-954,-533,1467,2000,-323,88,-411,10,-133,357,490,177,21,156
Monterey County,2013,3745.2,21104.4,71922,17.5,27175,24.4,18587,23.8,55411,216380,194075,22305,10.3,13769,14516,22121,7605,-474,2755,-3229,2754,4425,6821,2396,-1679,830,-2509
San Benito County,2014,367.9,1347.1,8162,14.1,3056,19.8,2055,17.8,68166,29241,26513,2728,9.3,2998,1909,3090,1181,1112,261,851,673,426,721,295,272,69,203
Merced County,2013,1849.3,12131.6,63843,24.8,26870,34.1,19157,33.4,41003,114628,98009,16619,14.5,7430,8729,13824,5095,-1275,1277,-2552,1596,2660,4268,1608,-1075,401,-1476
Placer County,2013,929,10417.3,30287,8.3,8068,9.5,5207,8.1,73643,175833,162264,13569,7.7,18877,3303,12412,9109,15361,1745,13616,5889,986,3811,2825,5046,556,4490
