GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
popchg4201072013,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2013 - Total Population Change [1]"
natinc4201072013,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2013 - Natural Increase"
births4201072013,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2013 - Vital Events - Births"
deaths4201072013,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2013 - Vital Events - Deaths"
netmig4201072013,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2013 - Net Migration - Total"
intlmig4201072013,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2013 - Net Migration - International [2]"
dommig4201072013,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2013 - Net Migration - Domestic"
popchg20122013,"Annual Estimates of the Components of Population Change - July 1, 2012 to July 1, 2013 - Total Population Change [1]"
natinc20122013,"Annual Estimates of the Components of Population Change - July 1, 2012 to July 1, 2013 - Natural Increase"
births20122013,"Annual Estimates of the Components of Population Change - July 1, 2012 to July 1, 2013 - Vital Events - Births"
deaths20122013,"Annual Estimates of the Components of Population Change - July 1, 2012 to July 1, 2013 - Vital Events - Deaths"
netmig20122013,"Annual Estimates of the Components of Population Change - July 1, 2012 to July 1, 2013 - Net Migration - Total"
intlmig20122013,"Annual Estimates of the Components of Population Change - July 1, 2012 to July 1, 2013 - Net Migration - International [2]"
dommig20122013,"Annual Estimates of the Components of Population Change - July 1, 2012 to July 1, 2013 - Net Migration - Domestic"
