GEO.id,GEO.id2,GEO.display-label,popchg4201072014,natinc4201072014,births4201072014,deaths4201072014,netmig4201072014,intlmig4201072014,dommig4201072014,popchg20132014,natinc20132014,births20132014,deaths20132014,netmig20132014,intlmig20132014,dommig20132014
Id,Id2,Geography,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2014 - Total Population Change [1]","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2014 - Natural Increase","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2014 - Vital Events - Births","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2014 - Vital Events - Deaths","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2014 - Net Migration - Total","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2014 - Net Migration - International [2]","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2014 - Net Migration - Domestic","Annual Estimates of the Components of Population Change - July 1, 2013 to July 1, 2014 - Total Population Change [1]","Annual Estimates of the Components of Population Change - July 1, 2013 to July 1, 2014 - Natural Increase","Annual Estimates of the Components of Population Change - July 1, 2013 to July 1, 2014 - Vital Events - Births","Annual Estimates of the Components of Population Change - July 1, 2013 to July 1, 2014 - Vital Events - Deaths","Annual Estimates of the Components of Population Change - July 1, 2013 to July 1, 2014 - Net Migration - Total","Annual Estimates of the Components of Population Change - July 1, 2013 to July 1, 2014 - Net Migration - International [2]","Annual Estimates of the Components of Population Change - July 1, 2013 to July 1, 2014 - Net Migration - Domestic"
0500000US01001,01001,"Autauga County, Alabama",824,386,2633,2247,347,84,263,259,126,618,492,140,11,129
0500000US01003,01003,"Baldwin County, Alabama",17846,1060,9159,8099,16080,1150,14930,4668,222,2169,1947,4062,283,3779
0500000US01005,01005,"Barbour County, Alabama",-570,-83,1251,1334,-504,5,-509,-91,-22,285,307,-59,1,-60
0500000US01007,01007,"Bibb County, Alabama",-413,61,1061,1000,-461,9,-470,2,16,243,227,-5,3,-8
0500000US01009,01009,"Blount County, Alabama",397,511,2928,2417,-130,50,-180,-1,112,676,564,-102,12,-114
0500000US01011,01011,"Bullock County, Alabama",-151,85,591,506,-233,63,-296,159,21,132,111,142,14,128
0500000US01013,01013,"Butler County, Alabama",-650,-20,1082,1102,-621,24,-645,7,14,252,238,5,6,-1
0500000US01015,01015,"Calhoun County, Alabama",-2670,-136,5682,5818,-2391,140,-2531,-631,-109,1292,1401,-440,31,-471
0500000US01017,01017,"Chambers County, Alabama",-94,-233,1688,1921,118,131,-13,-99,-48,404,452,-56,32,-88
0500000US01019,01019,"Cherokee County, Alabama",51,-388,1000,1388,418,23,395,-78,-64,243,307,10,5,5
0500000US01021,01021,"Chilton County, Alabama",300,334,2387,2053,-37,74,-111,95,92,558,466,25,19,6
0500000US01023,01023,"Choctaw County, Alabama",-535,-180,518,698,-363,13,-376,-74,-50,127,177,-15,3,-18
0500000US01025,01025,"Clarke County, Alabama",-895,-43,1173,1216,-866,39,-905,-221,-15,288,303,-202,10,-212
0500000US01027,01027,"Clay County, Alabama",-380,-166,607,773,-217,7,-224,46,-46,141,187,82,2,80
0500000US01029,01029,"Cleburne County, Alabama",108,64,773,709,5,0,5,63,19,198,179,54,0,54
0500000US01031,01031,"Coffee County, Alabama",961,624,2676,2052,336,682,-346,48,88,589,501,-25,149,-174
0500000US01033,01033,"Colbert County, Alabama",115,-252,2594,2846,433,141,292,44,-47,613,660,130,34,96
0500000US01035,01035,"Conecuh County, Alabama",-558,-77,629,706,-472,0,-472,-228,-30,140,170,-191,0,-191
0500000US01037,01037,"Coosa County, Alabama",-872,-116,404,520,-756,1,-757,-179,-13,93,106,-176,1,-177
0500000US01039,01039,"Covington County, Alabama",149,-181,1867,2048,301,30,271,64,-66,434,500,159,8,151
0500000US01041,01041,"Crenshaw County, Alabama",71,-45,640,685,118,86,32,17,-39,137,176,64,21,43
0500000US01043,01043,"Cullman County, Alabama",879,74,4089,4015,757,160,597,506,16,968,952,469,43,426
0500000US01045,01045,"Dale County, Alabama",-767,882,2857,1975,-1607,583,-2190,-361,133,644,511,-476,116,-592
0500000US01047,01047,"Dallas County, Alabama",-2109,203,2402,2199,-2308,58,-2366,-391,9,539,530,-388,16,-404
0500000US01049,01049,"DeKalb County, Alabama",-50,485,3607,3122,-514,307,-821,171,87,826,739,103,77,26
0500000US01051,01051,"Elmore County, Alabama",1681,1023,4070,3047,582,171,411,169,209,954,745,-69,38,-107
0500000US01053,01053,"Escambia County, Alabama",-586,32,1901,1869,-603,31,-634,-160,-31,419,450,-122,7,-129
0500000US01055,01055,"Etowah County, Alabama",-896,-814,5020,5834,12,248,-236,-431,-287,1144,1431,-127,63,-190
0500000US01057,01057,"Fayette County, Alabama",-367,-191,782,973,-171,6,-177,-35,-39,176,215,8,2,6
0500000US01059,01059,"Franklin County, Alabama",-108,193,1814,1621,-303,245,-548,59,49,412,363,29,63,-34
0500000US01061,01061,"Geneva County, Alabama",-78,-159,1310,1469,104,-14,118,-30,-32,305,337,10,-3,13
0500000US01063,01063,"Greene County, Alabama",-492,-4,446,450,-483,0,-483,-165,8,98,90,-181,0,-181
0500000US01065,01065,"Hale County, Alabama",-576,80,825,745,-667,38,-705,-127,12,194,182,-132,8,-140
0500000US01067,01067,"Henry County, Alabama",-112,-158,747,905,36,51,-15,-34,-24,168,192,3,12,-9
0500000US01069,01069,"Houston County, Alabama",2646,1136,5499,4363,1492,229,1263,567,168,1254,1086,367,51,316
0500000US01071,01071,"Jackson County, Alabama",-561,-326,2442,2768,-206,154,-360,-279,-68,574,642,-185,39,-224
0500000US01073,01073,"Jefferson County, Alabama",2443,8599,37726,29127,-5254,3198,-8452,1596,1767,8766,6999,149,797,-648
0500000US01075,01075,"Lamar County, Alabama",-478,-219,607,826,-244,4,-248,-117,-47,144,191,-70,1,-71
0500000US01077,01077,"Lauderdale County, Alabama",387,-626,3915,4541,1059,252,807,322,-165,914,1079,512,59,453
0500000US01079,01079,"Lawrence County, Alabama",-862,-94,1524,1618,-744,4,-748,-94,-22,359,381,-46,1,-47
0500000US01081,01081,"Lee County, Alabama",13959,3399,7368,3969,10314,2547,7767,2547,831,1837,1006,1645,611,1034
0500000US01083,01083,"Limestone County, Alabama",8005,1320,4238,2918,6491,313,6178,1863,306,1002,696,1527,75,1452
0500000US01085,01085,"Lowndes County, Alabama",-719,77,615,538,-828,5,-833,-150,5,138,133,-164,1,-165
0500000US01087,01087,"Macon County, Alabama",-2025,-153,835,988,-1905,-22,-1883,-397,-82,174,256,-328,-5,-323
0500000US01089,01089,"Madison County, Alabama",15488,5926,17386,11460,9254,2416,6838,3226,1232,4031,2799,1921,590,1331
0500000US01091,01091,"Marengo County, Alabama",-919,-70,1024,1094,-885,63,-948,-118,-17,238,255,-91,17,-108
0500000US01093,01093,"Marion County, Alabama",-506,-374,1309,1683,-131,64,-195,-34,-74,307,381,62,17,45
0500000US01095,01095,"Marshall County, Alabama",1617,856,5386,4530,750,564,186,67,129,1211,1082,-61,146,-207
0500000US01097,01097,"Mobile County, Alabama",1980,5932,23716,17784,-3698,2842,-6540,563,1211,5501,4290,-460,683,-1143
0500000US01099,01099,"Monroe County, Alabama",-1123,-46,1033,1079,-1050,6,-1056,-241,-27,223,250,-208,2,-210
0500000US01101,01101,"Montgomery County, Alabama",-3174,4627,13174,8547,-7795,1955,-9750,-1082,910,2995,2085,-1898,470,-2368
0500000US01103,01103,"Morgan County, Alabama",121,819,6001,5182,-609,442,-1051,-21,170,1370,1200,-134,118,-252
