id,id2,display-label,popchg4201072011,natinc4201072011,births4201072011,deaths4201072011,netmig4201072011,intlmig4201072011,dommig4201072011,popchg20102011,natinc20102011,births20102011,deaths20102011,netmig20102011,intlmig20102011,dommig20102011
0500000US01001,1001,"Autauga County, Alabama",696,299,814,515,395,64,331,630,237,660,423,390,46,344
0500000US01003,1003,"Baldwin County, Alabama",4452,495,2629,2134,3919,237,3682,3458,386,2109,1723,3046,176,2870
0500000US01005,1005,"Barbour County, Alabama",-338,-17,368,385,-321,68,-389,-271,-24,292,316,-248,55,-303
0500000US01007,1007,"Bibb County, Alabama",-153,14,281,267,-169,12,-181,-114,10,225,215,-125,10,-135
0500000US01009,1009,"Blount County, Alabama",355,166,860,694,196,137,59,290,134,690,556,160,110,50
0500000US01011,1011,"Bullock County, Alabama",-373,82,206,124,-459,-1,-458,-351,53,165,112,-408,-1,-407
0500000US01013,1013,"Butler County, Alabama",-297,24,318,294,-322,2,-324,-291,10,258,248,-304,1,-305
0500000US01015,1015,"Calhoun County, Alabama",-775,24,1709,1685,-797,72,-869,-629,41,1385,1344,-670,57,-727
0500000US01017,1017,"Chambers County, Alabama",-276,-104,467,571,-171,24,-195,-204,-88,373,461,-116,20,-136
0500000US01019,1019,"Cherokee County, Alabama",68,-126,250,376,195,8,187,60,-93,202,295,153,6,147
0500000US01021,1021,"Chilton County, Alabama",253,159,704,545,97,62,35,173,132,569,437,43,52,-9
0500000US01023,1023,"Choctaw County, Alabama",-249,-26,165,191,-225,4,-229,-242,-38,132,170,-207,3,-210
0500000US01025,1025,"Clarke County, Alabama",-145,-53,322,375,-91,5,-96,-81,-45,264,309,-35,4,-39
0500000US01027,1027,"Clay County, Alabama",-70,-73,169,242,7,7,0,-73,-59,137,196,-12,5,-17
0500000US01029,1029,"Cleburne County, Alabama",-137,-49,207,256,-88,-1,-87,-143,-36,162,198,-108,-1,-107
0500000US01031,1031,"Coffee County, Alabama",578,251,872,621,329,128,201,359,203,702,499,160,88,72
0500000US01033,1033,"Colbert County, Alabama",84,-34,758,792,123,31,92,21,-36,611,647,60,24,36
0500000US01035,1035,"Conecuh County, Alabama",-123,-20,195,215,-103,0,-103,-117,-36,151,187,-81,0,-81
0500000US01037,1037,"Coosa County, Alabama",-824,-42,104,146,-770,4,-774,-745,-39,85,124,-700,3,-703
0500000US01039,1039,"Covington County, Alabama",293,-65,546,611,362,31,331,258,-45,446,491,304,24,280
0500000US01041,1041,"Crenshaw County, Alabama",5,17,219,202,-10,62,-72,33,5,173,168,30,48,-18
0500000US01043,1043,"Cullman County, Alabama",130,37,1199,1162,101,145,-44,40,24,961,937,20,112,-92
0500000US01045,1045,"Dale County, Alabama",-207,274,889,615,-485,107,-592,-299,219,723,504,-525,60,-585
0500000US01047,1047,"Dallas County, Alabama",-488,95,791,696,-589,13,-602,-460,109,644,535,-576,10,-586
0500000US01049,1049,"DeKalb County, Alabama",266,239,1162,923,33,140,-107,253,198,926,728,59,108,-49
0500000US01051,1051,"Elmore County, Alabama",859,392,1231,839,464,47,417,572,309,996,687,264,32,232
0500000US01053,1053,"Escambia County, Alabama",-224,64,599,535,-284,29,-313,-200,36,479,443,-235,24,-259
0500000US01055,1055,"Etowah County, Alabama",-127,-280,1530,1810,163,96,67,-137,-211,1232,1443,81,74,7
0500000US01057,1057,"Fayette County, Alabama",-59,-61,231,292,5,6,-1,-68,-48,186,234,-19,5,-24
0500000US01059,1059,"Franklin County, Alabama",180,120,589,469,63,91,-28,161,105,470,365,57,71,-14
0500000US01061,1061,"Geneva County, Alabama",-9,-59,357,416,52,10,42,-47,-50,281,331,5,8,-3
0500000US01063,1063,"Greene County, Alabama",-124,58,150,92,-183,0,-183,-84,36,121,85,-121,0,-121
0500000US01065,1065,"Hale County, Alabama",-339,34,234,200,-377,26,-403,-315,6,189,183,-325,22,-347
0500000US01067,1067,"Henry County, Alabama",110,-38,210,248,149,37,112,104,-30,173,203,134,29,105
0500000US01069,1069,"Houston County, Alabama",822,434,1689,1255,394,56,338,600,366,1361,995,239,49,190
0500000US01071,1071,"Jackson County, Alabama",65,-68,697,765,139,27,112,116,-46,564,610,166,23,143
0500000US01073,1073,"Jefferson County, Alabama",465,3164,11612,8448,-2711,946,-3657,545,2653,9452,6799,-2115,690,-2805
0500000US01075,1075,"Lamar County, Alabama",-253,-73,170,243,-180,0,-180,-209,-58,137,195,-150,0,-150
0500000US01077,1077,"Lauderdale County, Alabama",72,-142,1172,1314,229,54,175,54,-121,937,1058,184,43,141
0500000US01079,1079,"Lawrence County, Alabama",-222,-22,439,461,-201,17,-218,-211,-17,359,376,-195,14,-209
0500000US01081,1081,"Lee County, Alabama",3221,901,1954,1053,2291,342,1949,2684,696,1536,840,1966,269,1697
0500000US01083,1083,"Limestone County, Alabama",2587,429,1242,813,2124,85,2039,2130,341,1000,659,1763,67,1696
0500000US01085,1085,"Lowndes County, Alabama",-152,39,206,167,-193,3,-196,-123,11,165,154,-136,3,-139
0500000US01087,1087,"Macon County, Alabama",-270,-58,291,349,-217,7,-224,-353,-48,235,283,-308,6,-314
0500000US01089,1089,"Madison County, Alabama",5300,2006,5172,3166,3271,397,2874,3970,1610,4152,2542,2351,280,2071
0500000US01091,1091,"Marengo County, Alabama",-337,-2,285,287,-339,4,-343,-288,-8,235,243,-284,2,-286
0500000US01093,1093,"Marion County, Alabama",-113,-135,367,502,24,6,18,-118,-91,299,390,-25,4,-29
0500000US01095,1095,"Marshall County, Alabama",1147,408,1718,1310,746,248,498,963,350,1395,1045,616,192,424
0500000US01097,1097,"Mobile County, Alabama",-413,2023,7099,5076,-2445,383,-2828,-539,1665,5734,4069,-2217,259,-2476
0500000US01099,1099,"Monroe County, Alabama",-310,14,321,307,-325,6,-331,-227,4,258,254,-232,5,-237
0500000US01101,1101,"Montgomery County, Alabama",2669,1367,3905,2538,1304,416,888,2326,1149,3161,2012,1175,306,869
0500000US01103,1103,"Morgan County, Alabama",463,437,1835,1398,41,203,-162,347,336,1472,1136,20,161,-141
0500000US01105,1105,"Perry County, Alabama",-213,8,166,158,-219,0,-219,-169,-6,136,142,-163,0,-163
0500000US01107,1107,"Pickens County, Alabama",-397,-15,291,306,-387,0,-387,-374,-14,239,253,-366,0,-366
0500000US01109,1109,"Pike County, Alabama",16,90,501,411,-75,68,-143,-55,69,405,336,-124,56,-180
0500000US01111,1111,"Randolph County, Alabama",-126,-46,281,327,-79,17,-96,-142,-36,225,261,-106,14,-120
0500000US01113,1113,"Russell County, Alabama",1625,-118,603,721,1715,22,1693,1365,-164,411,575,1506,14,1492
0500000US01115,1115,"St. Clair County, Alabama",800,413,1367,954,396,73,323,563,330,1096,766,242,58,184
0500000US01117,1117,"Shelby County, Alabama",2856,1585,3063,1478,1277,408,869,2078,1258,2441,1183,831,311,520
