GEO.id,GEO.id2,GEO.display-label,popchg4201072013,natinc4201072013,births4201072013,deaths4201072013,netmig4201072013,intlmig4201072013,dommig4201072013,popchg20122013,natinc20122013,births20122013,deaths20122013,netmig20122013,intlmig20122013,dommig20122013
0500000US01001,1001,"Autauga County, Alabama",776,428,3199,2771,227,122,105,57,133,600,467,-121,19,-140
0500000US01003,1003,"Baldwin County, Alabama",21444,1208,11382,10174,19436,1031,18405,3996,248,2240,1992,3690,221,3469
0500000US01005,1005,"Barbour County, Alabama",-968,-134,1517,1651,-850,-14,-836,-326,-40,269,309,-281,0,-281
0500000US01007,1007,"Bibb County, Alabama",-336,50,1314,1264,-362,88,-450,34,30,253,223,25,21,4
0500000US01009,1009,"Blount County, Alabama",351,445,3504,3059,-163,103,-266,15,13,603,590,-51,28,-79
0500000US01011,1011,"Bullock County, Alabama",-219,75,703,628,-299,144,-443,-133,14,123,109,-142,32,-174
0500000US01013,1013,"Butler County, Alabama",-792,-8,1346,1354,-752,10,-762,-122,21,257,236,-130,2,-132
0500000US01015,1015,"Calhoun County, Alabama",-2966,-154,7055,7209,-2686,294,-2980,-373,-60,1335,1395,-325,66,-391
0500000US01017,1017,"Chambers County, Alabama",-47,-267,2129,2396,196,166,30,71,-28,429,457,80,34,46
0500000US01019,1019,"Cherokee County, Alabama",-127,-473,1264,1737,331,36,295,-136,-65,250,315,-76,8,-84
0500000US01021,1021,"Chilton County, Alabama",312,392,2938,2546,-85,102,-187,22,99,561,462,-77,22,-99
0500000US01023,1023,"Choctaw County, Alabama",-688,-234,637,871,-450,0,-450,-119,-41,127,168,-70,0,-70
0500000US01025,1025,"Clarke County, Alabama",-1165,-167,1365,1532,-1030,22,-1052,-172,-66,247,313,-134,5,-139
0500000US01027,1027,"Clay County, Alabama",-377,-214,761,975,-166,3,-169,17,-45,149,194,54,1,53
0500000US01029,1029,"Cleburne County, Alabama",46,38,956,918,-24,0,-24,-54,-4,185,189,-47,0,-47
0500000US01031,1031,"Coffee County, Alabama",1263,723,3314,2591,536,775,-239,380,97,616,519,273,160,113
0500000US01033,1033,"Colbert County, Alabama",-74,-379,3139,3518,456,167,289,-126,-76,573,649,32,38,-6
